,train_n_traj,train_return_min,train_return_mean,train_return_std,train_return_max,train_len_min,train_len_mean,train_len_std,train_len_max,train_success_min,train_success_mean,train_success_std,train_success_max,test_n_traj,test_return_min,test_return_mean,test_return_std,test_return_max,test_len_min,test_len_mean,test_len_std,test_len_max,test_success_min,test_success_mean,test_success_std,test_success_max,num_expert_demos
0,20,-30000.0,-25014.0069770813,11594.48672265533,5889.027389526367,25,134.6,37.96498386671592,150,0.0,0.15,0.3570714214271425,1.0,20,-0.3908947892487049,-0.3616533603402786,0.07996847004621871,-0.062492307275533676,26,139.15,30.088660654804826,150,0.0,0.15,0.3570714214271425,1.0,10
1,20,-30000.0,-25490.188558959962,9571.753850401155,5488.247131347656,30,139.65,29.126062212389783,150,0.0,0.15,0.3570714214271425,1.0,20,-0.3908800098579377,-0.34914447779301555,0.10106926888150346,-0.054683934431523085,23,134.35,38.10547860872502,150,0.0,0.15,0.3570714214271425,1.0,60
2,20,-30000.0,-24384.63575363159,10070.535968656166,1869.649269104004,51,137.45,30.183563407921202,150,0.0,0.15,0.3570714214271425,1.0,20,-0.39087041304446757,-0.34093585518421604,0.10560046790456011,-0.08595216926187277,35,131.3,39.79585405541638,150,0.0,0.2,0.4000000000000001,1.0,110
3,20,-30000.0,-21083.330408477785,13017.370516798712,6297.204231262207,25,125.4,43.3409736854169,150,0.0,0.25,0.4330127018922193,1.0,20,-0.39088302315212786,-0.36126237832941116,0.08903087269442636,-0.05993860447779298,25,138.9,33.593005224302274,150,0.0,0.1,0.30000000000000004,1.0,160
4,20,-30000.0,-10759.975246047974,14396.933107120258,6986.341178894043,21,93.3,49.67806356934618,150,0.0,0.65,0.47696960070847283,1.0,20,-0.3906583026982844,-0.17446150771575047,0.1314586577507702,-0.04946146463043988,21,68.5,49.663366780757016,150,0.0,0.75,0.4330127018922193,1.0,210
5,20,-30000.0,-10175.17639541626,15658.847901956891,7874.345527648926,15,88.9,53.7176879621601,150,0.0,0.6,0.48989794855663565,1.0,20,-0.39078208175487816,-0.268500261195004,0.13020169732747996,-0.046871831407770514,20,104.2,49.14936418713878,150,0.0,0.55,0.4974937185533099,1.0,260
6,20,-30000.0,-3227.430467224121,13105.77425873056,6796.834129333496,21,63.9,47.06049298509313,150,0.0,0.8,0.4,1.0,20,-0.3906371642369777,-0.14828646087553352,0.11558285058328702,-0.04946215241216123,21,58.65,43.75759934000036,150,0.0,0.85,0.3570714214271425,1.0,310
7,20,-29905.54084777832,-6157.507711029053,15274.42420163588,7292.150947570801,19,72.7,53.44913469832791,150,0.0,0.7,0.45825756949558394,1.0,20,-0.35932026128284633,-0.1283635915722698,0.08609251956614485,-0.04426057799719274,19,51.3,33.063726347766675,140,1.0,1.0,0.0,1.0,360
8,20,-29902.060470581055,-7183.688930130005,13866.113592569865,7394.61515045166,19,81.9,49.96388695848233,150,0.0,0.75,0.4330127018922193,1.0,20,-0.3905806641560048,-0.14372874033870175,0.09400823306176488,-0.03646027063950896,16,57.1,35.841177436016245,150,0.0,0.95,0.21794494717703372,1.0,410
9,20,-30000.0,-351.92322578430174,10894.956137425726,7196.839714050293,19,55.35,44.403012285204255,150,0.0,0.9,0.30000000000000004,1.0,20,-0.39061478478834033,-0.13357209652895108,0.10643359556335263,-0.03384226141497493,15,53.1,40.39418274949996,150,0.0,0.9,0.30000000000000004,1.0,460
10,20,-30000.0,-2561.297385406494,11026.53387192685,7588.709342956543,17,67.35,44.604119764882704,150,0.0,0.9,0.3,1.0,20,-0.3905898036900908,-0.13786901984130964,0.08041010275998776,-0.03385313879698515,15,54.85,30.5684068933924,150,0.0,0.95,0.21794494717703372,1.0,510
